timestamp,speaker,words,tags,highlight,timelink
,Smith,"They were college people and my association with Mrs. Conard was when she came --- with us when we went to camp and she came out and taught us about the stars. Of course, Rudy worked for Mrs. Conard. And that was the only time he ever got sick. She baked bananas for him.",,,
,Jordan,"You told that story on the tape.",,,
,Smith,"Yes. Oh, he felt awful. He didn't like bananas until the day he died.",,,
,Jordan,"If I could ask you a question in relation to that","How did you find other people responding to people like Professor Steiner or Mrs. Conard since they were outspoken people on these issues.",,
,Smith,"They may have been, but they were oustanding members of the community so consequently and --- weren't they Jewish?",,,
,Wieman,"The Steiners were Jewish.",,,
,Smith,"Yes. And I think that the Jewish people in the community had a much harder time than I did. At least from what I",,,
,Jordan,"Well, of course, he had been raised Jewish, but he had converted at the time ---",,,
,Smith,"Yes.",,,
,Wieman,"But there were a few Jewish families in town.",,,
,Smith,"Yes. We had the Bermans.",,,
,Wieman,"And the Spectors.",,,
,Smith,"Is he the one that had the shoe store?",,,
,Wieman,"No, that was Bucksbaum.",,,
,Smith,"Bucksbaum. But we really did have a cosmopolitan town because we had Joe Marcellino. You know, he always had those Italian --- Greek --- dinners out at his house. And he had all kinds of students c0.rne out there.",,,
,Yeager,"Is Rudy still living.",,,
,Smith,"No. He died.",,,
,Yeager,"He has sons that",,,
,Smith,"He has one son. And he'll be nineteen the seventeenth of May.",,,
,Yeager,"His name is ---",,,
,Smith,"Lee. Lee James.",,,
,Yeager,"Does the name Collis Davis ring a bell?",,,
,Smith,"Yes. He was another one that came to the house a lot. And then he was at Hampton when Rudy was there.",,,
,Yeager,"I was going to ask about that. Was there some kind of a connection there. Did the family know ---",,,
,Smith,"No. My mother sent Rudy to Hampton because she said he wouldn't be able to make a living unless he had a trade. He would have been a wonderful farmer. _But .he· was a brick-layer. And then after he had become a brick-layer he couldn't get into the brick-layers' union.",,,
,Yeager,"There was a restriction.",,,
,Smith,"Yes.",,,
,Yeager,"I know it's beyond your time, but do you know anything at all --- Did anyone in town ever mention the Hampton Program, the Hampton Exchange Program?",,,
,Smith,"I heard about it. From whom did I hear about it? I think I heard about it from·carol; didn't I?",,,
,Wieman,"I don't know.",,,
,Smith,"You know her niece was here at the time and I think it was just mentioned. But that's all I know.",,,
,Yeager,"Carol ---",,,
,Wieman,"What year was Carol Vogt?",,,
,Smith,"Carol Zigemeier -- Carol Vogt, yes.",,,
,Wieman,"What year was the Hampton Exchange?",,,
,Yeager,"It started in '46 and it went through '54 or '55. I know you were gone by then, but did you have any contact---",,,
,Smith,"No.",,,
,Jordan,"And, of course, by that time Collis Davis was registrar at Hampton and helped facilitate the program.",,,
,Smith,"I'm sure that he would have been a prime instigator in such a program.",,,
,Yeager,"Is his wife still living do you know?",,,
,Smith,"Whose? Collis Davis's? I don't even know them.",,,
,Yeager,"You don't even know them.",,,
,Smith,"No, because Collis Davis wouldn't remember me because I was ---",,,
,Yeager,"You were so young.",,,
,Smith,"I think I was only about six or so.",,,
,Jordan,"The students who were here in the late teens and through the twenties, did they maintain contact with your family after they left?",,,
,Smith,"Some of them. Alphonse Henninger and Carl Saunders.",,,
,Wieman,"Is he still living?",,,
,Smith,"I don't know. A number of years ago when my sister was living, she came to Chicago and he was an engineer for the city water department.",,,
,Yeager,"In Chicago?",,,
,Smith,"In Chicago. But, see, he would be way up in his seventies now, so",,,
,Jordan,"Well, we noticed that three of the earliest black graduates went on to Harvard about this time. I've written to Harvard to try to get more information on them but ---",,,
,Smith,"Who are they?",,,
,Jordan,"Collis Davis, Alphonse Henningburg went to Harvard didn't he?",,,
,Yeager,"Leo Welker.",,,
,Smith,"Who?",,,
,Jordan,"Leo Welker.",,,
,Smith,"He's one of the names I don't know because he probably was one of the ones who didn't come to the house.",,,
,Yeager,"1903. Class of '03.",,,
,Jordan,"He was the first and then James Redmon about 1909 to 13.",,,
,Yeager,"Hosea Booker Campbell. Do you know anything about him?",,,
,Smith,"Yeah. He was very strange when he was here. I thought he would lose his mind. Is he all right now?",,,
,Yeager,"We don't know if he's even living.",,,
,Smith,"Well, because he was very --- we thought he was --- but he may have been a very brilliant person and he was just peculiar, but he was very odd. You know, if a child notices that you're odd, then you really do act peculiar.",,,
,Jordan,"In what ways?",,,
,Smith,"Well, his mannerisms and the way he acted, I thought was funny. I don't know what he did. It was something. I know he had a tic. So that was a nervous mannerism and that was something that a child would notice.",,,
,Yeager,"Yeah. But you don't have any idea whether he's living or dead.",,,
,Smith,"No.",,,
,Yeager,"Do you know where he was from?",,,
,Smith,"No. I don't have any idea where any of them were from.",,,
,Yeager,"We had a conflict on him because it said that he was from Chicago.",,,
,Smith,"I don't think he was.",,,
,Yeager,"He was originally from the South?",,,
,Smith,"I think so. You know, at one time it was considered to be --- you just wouldn't say that you were from the South. You'd say you were from some big city rather than say that you were originally from the South. And if you talk to many Negroes now, even though they are from the South, they don't say they're from the South. They say they're from some big city.",,,
,Yeager,"You talked about a scholarship that you got from the Ladies' Educational Society.",,,
,Smith,"Yes. That paid for my graduation. And I was to pay it back. And which I did at twenty-five dollars a month. I made seventy-five. I paid the Ladies' Aid twenty-five dollars every month, or whatever, the Ladies' Society.",,,
,Yeager,"How was that scholarship arranged?",,,
,Smith,"You applied for it. And they knew that I couldn't graduate unless I had the money. And they gave it to me.",,,
,Jordan,"What were the expenses? Diploma? Cap and gown?",,,
,Smith,"For the cap and gown and your sheepskin. I think it was $125.00 and that was a lot of money back in those days.",,,
,Wieman,"That was a semester's tuition too in those days.",,,
,Smith,"Yes, so you see that was a lot of money. And that was the nicest piece of paper I ever received when they sent that back to me that it was paid.",,,
,Yeager,"Is Hilda C,odfrey living?",,,
,Smith,"Yes she is. She lives in Ottumwa. And her name is Hilda Wilson. You know, she worked at the college. In the college library.",,,
,Yeager,"And that's whom you visited in the library when you were young?",,,
,Smith,"Oh, yes. I visited her every ev.ening after we'd walk home together because she lived on Spring Street and I lived on. First Ave. She lived one block south of the light and I lived one block west of the light.",,,
,Yeager,"The housing wasn't segregated in any way here in Grinnell, was it?",,,
,Smith,"No.",,,
,Yeager,"It wasn't at all.",,,
,Smith,"Well, now that I don't know. Oscar and Addie, they bought a house on ---",,,
,Wieman,"Tenth Avenue and Summer Street. And the Lucases lived first on north West.",,,
,Smith,"Yes. And the reason they moved from north West to 511 Second Avenue was because Momma bought the house at 411 First Avenue. You see the house at 511 had been given to Mother by Mumford. My mother had taken care of Mumford. Mumford was an old drayer and he told her that if she would take care of him until he died, she could have the house.",,,
,Yeager,"In the tape it seemed that there were quite a few people who lived in like a --- on the same street, next to each other.",,,
,Smith,"Well, that was because the three sisters lived within three blocks.",,,
,Yeager,"That was just coincidence?",,,
,Smith,"That was just coincidence. I think the man's name was who wanted Mother to have the house at 411 and so he was instrumental in seeing that she got that house. Because 511 was much smaller and with six children it wasn't big enough.",,,
,Wieman,"Going back to housing, the Tibbses lived over on Elm Street and where did Mrs. Redrick live?",,,
,Smith,"Redrick lived on Center Street right by the railroad tracks.",,,
,Wieman,"Oh, yeah. Kind of in the neighborhood. Closer to your neighborhood, but not really in it.",,,
,Smith,"Not really.",,,
,Wieman,"I'm trying to think of where some of the other people lived.",,,
,Smith,"Mrs. Jones lived way down by where Harley Harrington lived, on Broad Street, way south, down by the dump.",,,
,Yeager,"Who was Mrs. Jones?",,,
,Smith,"She was just a Negro who lived here.",,,
,Yeager,"You don't know anything about her?",,,
,Smith,"I don't know one thing. I don't even know where she worked. I know she must have maybe she didn't work. I don't know, but I know she lived by the ---",,,
,Yeager,"She wasn't related to anyone?",,,
,Smith,"No. She lived down by the dump. That's where the city dump used to be down there. I don't even know where it was because we weren't allowed to go that way.",,,
,Wieman,"She musn't have been the kind of person you would associate with.",,,
,Smith,"Well Paul and I always said she was a witch.",,,
,Wieman,"She's the one you called the witch.",,,
,Smith,"Yeah. And of course we were always scared of Mrs. Redrick's daughter-in-law because she always tied a rag on her heA(' and went down the railroad tracks. You know how kids are.",,,
,Yeager,"It seems like you mentioned that the Redricks were related to the Tibbs.",,,
,Smith,"They are. Mayme Redrick became Mavme Tibbs. So that was her daughter. And there was an Edith Redrick, a Robert Redrick, a Mayme Redricls"".. Robert Redrick lived right next to the railroad track and his mother lived in the next house. Mother had known Mrs. Redrick before because her name was Miss Brown.",,,
,Yeager,"Whose name was Miss Brown?",,,
,Smith,"Redrick. Mrs. Redrick.",,,
,Yeager,"Before she was married?",,,
,Smith,"Yes. Mrs. Redrick. That was the mother of Mayme and Bob and Edith.",,,
,Yeager,"Now your family had little contact with the Redricks?",,,
,Smith,"Very little. Mother was very conscious of social strata and she said that she heard that Mrs. Redrick tied her children up by their thumbs and whipped them so that put them ---",,,
,Jordan,"On a lower level.",,,
,Smith,"Yes. So she said she wouldn't have anything to do with any of them. And then she always kept all of ber blinds closed.",,,
,Yeager,"She wasn't very friendly then or ---",,,
,Smith,"It wasn't that but she was just peculiar and if you ever asked her a question, she'd say,""Oh, over on River to River Road.""So, if anybody ever said anything about, tell us about,""Oh, over on River to River Road.""That's if you don't want them to know.""Over on River to River Road.""",,,
,Wieman,"That's Highway 6, River to River Road.",,,
,Yeager,"Were there a lot --- I was told by someone that when the highways were being built When were the highways built in Grinnell? Do you have any idea?",,,
,Smith,"Well, they had a lot of paving men who came here. And then Mr. Spencer put in the concrete sidewalks in Grinnell. He was a Negro. And you'll see his name down.",,,
,Wieman,"Yeah, that's right.",,,
,Yeager,"Who was Mr. Spencer?",,,
,Wieman,"He was sent here to do that job?",,,
,Smith,"Yes.",,,
,Yeager,"He lived here in Grinnell?",,,
,Smith,"No. He came in to put in the sidewalks. I don't know how many --- a lot of sidewalks. And if you look down you see the little",,,
,Wieman,"Inscription.",,,
,Yeager,"What year was this in?",,,
,Smith,"Oh, well, it was before I was born. I wouldn't know. Well, it might not have been before I was born",,,
,Wieman,"Well, the sidewalks were probably put in in the late 1890's or early 1900' s. I can remember a few wo0.d-planked roads and I can remember when the streets were paved.",,,
,Smith,"And then they had the paving gangs that came in.",,,
,Wieman,"Were they black?",,,
,Smith,"Yes . · And they stayed with Aunt P,nn Le.",,,
,Wieman,"They did?",,,
,Smith,"Yes.",,,
,Yeager,"Aunt Annie ?",,,
,Smith,"Good .. , Brown.",,,
,Yeager,"She was the",,,
,Smith,"She was the transformation lady.",,,
,Yeager,"Frank Field you mentioned on the tape.",,,
,Smith,"That was one of Aunt Annie's husbands.",,,
,Yeager,"Oh. O.K.",,,
,Smith,"The one that's in jail. That was in jail.",,,
,Yeager,"And you called him the bum, didn't you?",,,
,Wieman,"Aunt Annie had a colorful life, didn't she?",,,
,Smith,"Oh, didn't she? I'll tell you.",,,
,Yeager,"Anything about the Tibbs family? Do you have contact with that family?",,,
,Smith,"No. I went to Marshalltown Sunday and visited a friend there and she said that one of the Tibbs girls, Roberta, lives there and she had four children.",,,
,Yeager,"That's in Montezuma?",,,
,Jordan,"Marshalltown.",,,
,Smith,"There's nobody in Montezuma.",,,
,Wieman,"Did you know the people at Morrow Chapel in Marshalltown?",,,
,Smith,"The only people I know --- Anna May was married to Harry Gilmore and he was from Marshalltown. And this Mr. and Mrs. Johnson that we go to visit in Marshalltown were very good friends of the Gilmores. And so that's the only reason I know them.",,,
,Yeager,"Can you tell me something about the Kiners?",,,
,Smith,"The Kiners are --- Lena Lucas is Mrs. Kiner's half-sister. Lena Lucas' mother was Clara Lucas and then she was Clara Western. When she became Clara Western, she had Alma Western. And Alma Western became Alma Kiner. Now, Lena Lucas had a quarter of the section.",,,
,Yeager,"Was she John Lucas'",,,
,Smith,"Niece.",,,
,Yeager,"Niece. O.K.",,,
,Smith,"She was Theodore Lucas' daughter. And, see, she's the one --That's the last piece of property that belonged to Henry Lucas. Now that piece of property has gone to her son, Theodore Benning. She died in September at ninety-four.",,,
,Yeager,"Oh.",,,
,Smith,"So Alma is her half-sister. So that's what see, from the Lucases --- John Lucas was Lena's uncle and that was my uncle too.",,,
,Yeager,"Oh, I see. And so you go down there every so often and visit.",,,
,Smith,"Well, see, if we didn't go there to visit, we'd stay in a motel because I still have a house here. And so, we have to come to see about it.",,,
,Yeager,"Do you have any plans of ever settling back in Grinnell.",,,
,Smith,"No, not yet. But you never know. My daughter told me the other day, she said,""Well, Daddy has to go out there to see about the house so much, you ought to move in that house and let me move in your house.""",,,
,Yeager,"Has Grinnell changed a lot since you ---",,,
,Smith,"Oh, I should say. It's so much bigger.",,,
,Wieman,"Gosh, yes. It was two miles square when you were growing up.",,,
,Smith,"Oh, I should say. And what's going to be your new community center, that was the high school and the junior high school. We still have a picture of all of the students","Alice, Anna May, Evanel, Rudy, in a great long picture. That's why I asked you if ---",,
,Wieman,"Those panQramic view pictures.",,,
,Smith,"I don't understand how they got that picture because you know how old man Child used to take those pictures. He never seemed to take more than one picture.",,,
,Wieman,"I know. I don't know how he did it. Whether it was just a big wide-angle lens or what but it wasn't distorted.",,,
,Smith,"No. And now if they take a wide-angle ---",,,
,Wieman,"Eor instance,· over iri the museum are these pictures of all the work crews at those plants, and he took those pictures I suppose. Ldon'.t know how he did it.",,,
,Smith,"I don't either. I think it's most amazing. And, of course, his son died too, didn't he?",,,
,Wieman,"Yes, I think he did.",,,
,Jordan,"Are you finished?",,,
,Yeager,"Yes, I'm finished.",,,
,Jordan,"All right.",,,
